# x0 y0 zi zf ux uy uz E deltaE deltaX
-0.0 -0.0 -0.0 0.132320784534 -0.023518724517 -0.389400898217 0.920768054433 0.047 0.047 0.143706967131
-0.0427563631312 0.0614811601668 0.132320784534 0.3908049708 -0.252778968733 0.550664741444 0.795531982699 0.097 0.05 0.324919917599
-0.29044682008 0.222177719804 0.3908049708 0.312777616604 -0.930681581451 0.320861329495 -0.175726495394 0.147 0.05 0.444027259638
-0.685092844129 0.219212105256 0.312777616604 -0.0274300270018 -0.711707460424 -0.28086895088 -0.643882848978 0.197 0.05 0.528368854902
-0.998969672378 -0.116248221543 -0.0274300270018 -0.135367957288 -0.426667113105 -0.885708577376 -0.182963085231 0.247 0.05 0.589943759147
-1.06023728427 -0.688016572785 -0.135367957288 -0.0954406968569 0.20324306044 -0.977110898166 0.0628215812228 0.297 0.05 0.635565989493
-0.663428558019 -0.96005689635 -0.0954406968569 -0.0598378219057 0.991958478182 0.114861774378 0.0531521434227 0.347 0.05 0.66982952443
-0.307663485639 -0.795025292467 -0.0598378219057 0.586789590513 0.0676537880278 0.363685667848 0.929061730978 0.397 0.05 0.696000481839
-0.166846473767 -0.33713698625 0.586789590513 0.451934954584 0.327691848752 0.925807803211 -0.188409033155 0.447 0.05 0.715754619993
-0.0317402123871 0.0796316562364 0.451934954584 -0.257322535808 0.0488285337971 0.233954394116 -0.971020656712 0.497 0.05 0.730424719072
0.182887242633 0.179521619446 -0.257322535808 -0.885001919538 0.530846638151 0.0389700724313 -0.846571426531 0.547 0.05 0.741437005856
0.642315857683 0.453520888575 -0.885001919538 -1.01462054937 0.700558340617 0.692338375419 -0.17287447849 0.597 0.05 0.749784647025
0.90250288328 1.07138028074 -1.01462054937 -1.25422050138 -0.00647654915743 0.948373739352 -0.317088796424 0.647 0.05 0.755624149167
1.20244973986 1.54544854416 -1.25422050138 -1.65159100461 0.795997803314 0.30472079533 -0.523003569789 0.697 0.05 0.759785451163
1.55112565573 1.44295971045 -1.65159100461 -2.26979352325 0.121409501255 -0.572523848633 -0.810849046217 0.747 0.05 0.762413819841
1.66994617806 0.877387018361 -2.26979352325 -2.55207994655 0.189961202347 -0.909557476179 -0.369621345609 0.797 0.05 0.763717860588
1.66827819637 0.3169147697 -2.55207994655 -3.16856665956 -0.194237992684 -0.557927236698 -0.806838769984 0.847 0.05 0.764076710171
1.33175724583 -0.157801296339 -3.16856665956 -3.35419048125 -0.686885111684 -0.684926105287 -0.24303307109 0.897 0.05 0.763780093223
0.726125102025 -0.425095893765 -3.35419048125 -3.68666913205 -0.899936539876 -0.0150151311297 -0.435762286153 0.947 0.05 0.762981702104
0.133189635187 -0.181966036368 -3.68666913205 -3.97527892363 -0.655385698116 0.653390491702 -0.378880524782 0.997 0.05 0.761743538393
-0.452321816206 -0.0131306464211 -3.97527892363 -4.29269536026 -0.883880221559 -0.210573848782 -0.417629510626 1.047 0.05 0.760043120895
-1.0814911626 -0.289091713583 -4.29269536026 -4.5698244863 -0.773917925726 -0.517056938536 -0.36565443598 1.097 0.05 0.757898985412
-1.62767242606 -0.754300204308 -4.5698244863 -4.72710703715 -0.66960597238 -0.712933675114 -0.208214832905 1.147 0.05 0.755385909142
-1.87692885379 -1.38317354375 -4.72710703715 -4.50558688905 0.00969733769317 -0.955649694277 0.294346094709 1.197 0.05 0.752583955029
-1.67722872176 -1.87376618033 -4.50558688905 -3.9229370091 0.523101617907 -0.349504421935 0.777310334674 1.247 0.05 0.749571765566
-1.53972504569 -2.06778670075 -3.9229370091 -3.19661347619 -0.156874443051 -0.168888449688 0.973070963846 1.297 0.05 0.74642401211
-1.7105509728 -2.17274414692 -3.19661347619 -2.49314432794 -0.302154374784 -0.11282836343 0.946558236034 1.347 0.05 0.743186337061
-1.91056752725 -2.35283494897 -2.49314432794 -1.82962205799 -0.237170709611 -0.373482018064 0.896806131048 1.397 0.05 0.739872584471
-2.04151229197 -2.69150705517 -1.82962205799 -1.21795098963 -0.117330955456 -0.544492784198 0.830518545758 1.447 0.05 0.736492967546
-2.17712421003 -3.14745460796 -1.21795098963 -0.725792551698 -0.252109051675 -0.696916750142 0.671377739753 1.497 0.05 0.733057426225
