# x0 y0 zi zf ux uy uz E deltaE deltaX
0.0 0.0 -10.0 -9.33211850211 0.0 0.0 1.0 2.447 0.05 0.667881497887
-0.0559682606429 0.0346464886276 -9.33211850211 -8.67402360027 -0.166787260646 0.103247677574 0.98057224454 2.397 0.05 0.671133519744
-0.147954670389 0.191147603192 -8.67402360027 -8.04932197894 -0.106813018799 0.361363944978 0.926286714946 2.347 0.05 0.674414963805
-0.334493868613 0.565278737111 -8.04932197894 -7.71152084769 -0.444195777669 0.744481654272 0.498434727474 2.297 0.05 0.677723907729
-0.57725086194 1.0848916019 -7.71152084769 -7.33213228613 -0.270860624265 0.785061540971 0.55705735711 2.247 0.05 0.681058344731
-0.630012079482 1.67740440017 -7.33213228613 -7.1340575024 0.115352990696 0.950230139535 0.289406927105 2.197 0.05 0.684416180752
-0.511588790641 2.33727988579 -7.1340575024 -7.14013847783 0.229569960756 0.973252005016 -0.00884125848231 2.147 0.05 0.687795231706
-0.334825986742 2.97651337555 -7.14013847783 -7.40188769115 0.283030095724 0.881184700463 -0.378691812144 2.097 0.05 0.691193220803
-0.343927537561 3.53814953268 -7.40188769115 -7.8170392965 -0.307845078157 0.740278817496 -0.59767773944 2.047 0.05 0.694607775982
-0.612915132897 4.07462077404 -7.8170392965 -8.08160835179 -0.46436472101 0.800443701793 -0.379018846684 1.997 0.05 0.69803667445
-0.902814353643 4.65964735648 -8.08160835179 -8.31184677849 -0.364450688374 0.871463454475 -0.328218133652 1.947 0.05 0.701479909529
-1.16970786036 5.24792300646 -8.31184677849 -8.62821542765 -0.394547578176 0.801823680624 -0.448788361866 1.897 0.05 0.704939512773
-1.57720440027 5.76158112315 -8.62821542765 -8.61730468186 -0.757830956531 0.652269141503 0.0154015702689 1.847 0.05 0.708417751566
-2.15945004671 6.1544422967 -8.61730468186 -8.52696704073 -0.881606152712 0.454608215756 0.126893505226 1.797 0.05 0.711916980906
-2.81822878796 6.36712890832 -8.52696704073 -8.36726598934 -0.964341063235 0.142192320506 0.223221096107 1.747 0.05 0.715438881771
-3.38541869314 6.51835063557 -8.36726598934 -7.83896180508 -0.618172850202 0.279165040029 0.734798753196 1.697 0.05 0.718978062994
-3.85236065642 6.61447113244 -7.83896180508 -7.30752580321 -0.677392242575 -0.011726340371 0.735528546448 1.647 0.05 0.722522605592
-4.39476414623 6.53597610029 -7.30752580321 -6.91941134885 -0.820009464203 -0.204552782356 0.534549004159 1.597 0.05 0.726059634076
-5.03499781157 6.34359578807 -6.91941134885 -6.83503384381 -0.939027283604 -0.323808867966 0.115652832535 1.547 0.05 0.729575776037
-5.74364350449 6.24224303146 -6.83503384381 -6.84651573391 -0.998830105931 0.0457502941927 -0.0156630158787 1.497 0.05 0.733057426225
-6.47063432789 6.19876420269 -6.84651573391 -6.92978511622 -0.980025406774 -0.163606790232 -0.113062019558 1.447 0.05 0.736492967546
-7.1952878968 6.11630813736 -6.92978511622 -7.05685003699 -0.983311630924 -0.0600331477905 -0.171738922952 1.397 0.05 0.739872584471
-7.92595104008 6.07503244486 -7.05685003699 -6.94545960086 -0.987371446771 -0.0513121715014 0.149882244301 1.347 0.05 0.743186337061
-8.65299373322 5.9582762079 -6.94545960086 -6.93255173452 -0.964980233435 -0.261751988098 0.0172929409232 1.297 0.05 0.74642401211
-9.3507169346 5.69965984255 -6.93255173452 -6.98178219057 -0.900730278691 -0.42938485192 -0.0656781089119 1.247 0.05 0.749571765566
-9.88340070681 5.22722873525 -6.98178219057 -6.82058682946 -0.518487746799 -0.827824522284 0.21418920777 1.197 0.05 0.752583955029
-10.3687373109 4.68376696507 -6.82058682946 -6.68476693373 -0.768438545159 -0.614144481228 0.179801998017 1.147 0.05 0.755385909142
-10.8733923687 4.21641434455 -6.68476693373 -6.27383800605 -0.565830638257 -0.621176651255 0.542194851272 1.097 0.05 0.757898985412
-11.226282748 3.6797911739 -6.27383800605 -5.90233287116 -0.364371815641 -0.792661851665 0.488794812659 1.047 0.05 0.760043120895
-11.6634478238 3.21446050756 -5.90233287116 -5.56224725912 -0.784242766048 -0.430859112809 0.446456838689 0.997 0.05 0.761743538393
-11.8788063317 2.67831917447 -5.56224725912 -5.58885043108 0.218451954043 -0.975224594479 -0.0348673787155 0.947 0.05 0.762981702104
-11.5114201089 2.09728648321 -5.58885043108 -5.88195814021 0.743797340268 -0.547260743242 -0.383759293719 0.897 0.05 0.763780093223
-10.8587968528 1.91699807758 -5.88195814021 -6.07464646143 0.964757727246 0.0751365006418 -0.252184523694 0.847 0.05 0.764076710171
-10.2696994341 1.63539791695 -6.07464646143 -6.01476134083 0.57749851057 -0.812617333596 0.0784126228938 0.797 0.05 0.763717860588
-10.0362261591 1.32693918588 -6.01476134083 -5.2527965432 0.0339718699098 0.00484370726295 0.999411051847 0.747 0.05 0.762413819841
-10.0323244316 1.07850768615 -5.2527965432 -4.68149084006 -0.02381878755 -0.658812179217 0.751930301208 0.697 0.05 0.759785451163
-10.0302250112 0.532748009904 -4.68149084006 -5.15184490991 0.0295067450693 -0.782086496734 -0.622470933957 0.647 0.05 0.755624149167
-9.765279072 0.00633404937133 -5.15184490991 -5.45384599428 0.676988881085 -0.615996178672 -0.402783766739 0.597 0.05 0.749784647025
-9.49189570335 -0.592010665833 -5.45384599428 -5.36314447734 0.0528310129373 -0.991082111105 0.122332060885 0.547 0.05 0.741437005856
-9.35304304325 -1.1086212714 -5.36314447734 -5.98570472222 0.326569523073 -0.408524315147 -0.852326363861 0.497 0.05 0.730424719072
-8.88943482307 -1.30625885327 -5.98570472222 -5.81648216819 0.962176099159 -0.135352120533 0.236425374431 0.447 0.05 0.715754619993
-8.37434525052 -1.38521620197 -5.81648216819 -6.41986512675 0.490656494913 -0.0876950424556 -0.866928937992 0.397 0.05 0.696000481839
-7.97008338778 -1.17671332494 -6.41986512675 -6.46496564181 0.697231984516 0.7136764332 -0.0673313334433 0.347 0.05 0.66982952443
-7.44763879196 -0.806448680133 -6.46496564181 -6.49841859789 0.909209480346 0.412998411044 -0.0526349059536 0.297 0.05 0.635565989493
-6.88227003721 -0.738949049637 -6.49841859789 -6.66000351557 0.937165412635 -0.216102773876 -0.273898850826 0.247 0.05 0.589943759147
-6.50066487067 -0.564026064076 -6.66000351557 -6.74417278456 0.398084490907 0.903411413215 -0.159300208953 0.197 0.05 0.528368854902
-6.44124671727 -0.182923154513 -6.74417278456 -6.41609288577 -0.206066492153 0.641562784801 0.738873327418 0.147 0.05 0.444027259638
-6.54501376854 0.110770231096 -6.41609288577 -6.44045000813 -0.357118651262 0.931046050458 -0.0749634634134 0.097 0.05 0.324919917599
-6.60073410207 0.259787401255 -6.44045000813 -6.58401359996 0.0319698882671 -0.0311819654032 -0.999002307944 0.047 0.047 0.143706967131
