# x0 y0 zi zf ux uy uz E deltaE deltaX
0.0 0.0 -10.0 -9.33211850211 0.0 0.0 1.0 2.447 0.05 0.667881497887
-0.116818409597 -0.105756754426 -9.33211850211 -8.73958489664 -0.348122709298 -0.315158612452 0.882884832959 2.397 0.05 0.671133519744
-0.387853540817 -0.376818683852 -8.73958489664 -8.23918390647 -0.457334815802 -0.49021799299 0.741977887544 2.347 0.05 0.674414963805
-0.610881252976 -0.752560241625 -8.23918390647 -7.72611860784 -0.203064964217 -0.621009176079 0.757041758117 2.297 0.05 0.677723907729
-0.609400655989 -1.26276168753 -7.72611860784 -7.43518825962 0.206418695454 -0.88029187353 0.427173898505 2.247 0.05 0.681058344731
-0.441975982462 -1.86451654273 -7.43518825962 -7.17848838655 0.283842167193 -0.882474145298 0.375064003876 2.197 0.05 0.684416180752
-0.252167657985 -2.49765230096 -7.17848838655 -7.18725638811 0.269484969366 -0.962920214882 -0.012747982476 2.147 0.05 0.687795231706
-0.194972949214 -3.16866229303 -7.18725638811 -7.08390082671 -0.10266457666 -0.983412497958 0.149532082042 2.097 0.05 0.691193220803
-0.226136200703 -3.85440296039 -7.08390082671 -7.14621296448 0.012430837551 -0.995890496479 -0.0897083792126 2.047 0.05 0.694607775982
-0.16976662162 -4.53735618498 -7.14621296448 -7.29431745175 0.149139157801 -0.965784737347 -0.212172931161 1.997 0.05 0.69803667445
-0.14708306205 -5.2082453487 -7.29431745175 -7.50144209013 -0.0837336633644 -0.951738106923 -0.295268097582 1.947 0.05 0.701479909529
-0.298549900714 -5.77703138013 -7.50144209013 -7.96669239342 -0.346407302049 -0.66664854673 -0.659986133362 1.897 0.05 0.704939512773
-0.519014909609 -6.29833743306 -7.96669239342 -8.33439618394 -0.277708770888 -0.808372182765 -0.519049374052 1.847 0.05 0.708417751566
-0.654896528694 -6.81962430459 -8.33439618394 -8.86390759988 -0.105390680543 -0.660060865982 -0.743782533845 1.797 0.05 0.711916980906
-0.847215727672 -7.27564036969 -8.86390759988 -9.33350508851 -0.432753923131 -0.617975347083 -0.65637680673 1.747 0.05 0.715438881771
-1.23361884752 -7.6104264867 -9.33350508851 -9.83414954442 -0.644243935519 -0.31634990612 -0.696327859879 1.697 0.05 0.718978062994
-1.72591440433 -7.6957561575 -9.83414954442 -10.3311025975 -0.721629818533 0.0785986496188 -0.687802774989 1.647 0.05 0.722522605592
-2.19962813995 -7.56747385779 -10.3311025975 -10.8840472437 -0.586774962401 0.275149986228 -0.761569188307 1.597 0.05 0.726059634076
-2.48205386858 -7.46996804107 -10.8840472437 -11.6002788592 -0.190272000981 -0.00652936271808 -0.981709698977 1.547 0.05 0.729575776037
-2.65513572896 -7.30065331176 -11.6002788592 -12.2138438841 -0.282850797986 0.468439594504 -0.836994487663 1.497 0.05 0.733057426225
-2.98396879964 -7.05764880263 -12.2138438841 -12.7789051712 -0.611438646717 0.1936418962 -0.767232427194 1.447 0.05 0.736492967546
