# x0 y0 zi zf ux uy uz E deltaE deltaX
0.0 0.0 -10.0 -9.33211850211 0.0 0.0 1.0 2.447 0.05 0.667881497887
-0.0945653765651 0.120977275295 -9.33211850211 -8.73537085445 -0.281807937715 0.360516266097 0.889163825243 2.397 0.05 0.671133519744
-0.201506799236 0.381739707992 -8.73537085445 -8.12213083911 -0.0367015762404 0.414537532242 0.909291828108 2.347 0.05 0.674414963805
-0.230144796266 0.655835071442 -8.12213083911 -7.50076543524 -0.0479898989504 0.396356700766 0.916841499583 2.297 0.05 0.677723907729
-0.339747479006 0.92342485756 -7.50076543524 -6.90248731078 -0.274104950149 0.391389610305 0.878453555545 2.247 0.05 0.681058344731
-0.532423067057 1.26187578122 -6.90248731078 -6.39202209855 -0.290276177068 0.599551411443 0.745840362318 2.197 0.05 0.684416180752
-0.863857317805 1.52354458636 -6.39202209855 -5.89723536431 -0.674908414052 0.164285702884 0.719380873022 2.147 0.05 0.687795231706
-1.33449855914 1.58544546896 -5.89723536431 -5.3972129349 -0.690232020914 0.015635052253 0.723419174785 2.097 0.05 0.691193220803
-1.85059401218 1.60590602295 -5.3972129349 -4.98076476749 -0.79916642405 0.0433543459948 0.599544349782 2.047 0.05 0.694607775982
-2.46634065885 1.61071460535 -4.98076476749 -4.80948447883 -0.968983587342 -0.0293639314389 0.245374340533 1.997 0.05 0.69803667445
-3.13576544879 1.52690390049 -4.80948447883 -4.63180326479 -0.944379860291 -0.209734172945 0.253294800925 1.947 0.05 0.701479909529
-3.77160423132 1.28015511943 -4.63180326479 -4.55549135471 -0.864207573932 -0.491351736115 0.108253131942 1.897 0.05 0.704939512773
-4.32733081179 0.857163413633 -4.55549135471 -4.55435459514 -0.708958935235 -0.705247937439 0.00160464578839 1.847 0.05 0.708417751566
-4.61950160026 0.25453967617 -4.55435459514 -4.60084058543 -0.115325921817 -0.991179218526 -0.0652969258089 1.797 0.05 0.711916980906
-4.80674095423 -0.402252832427 -4.60084058543 -4.83910205877 -0.40866695018 -0.849754906944 -0.333028410131 1.747 0.05 0.715438881771
-5.19457149575 -0.940505979907 -4.83910205877 -5.09172439613 -0.672183036 -0.651700821865 -0.351363067061 1.697 0.05 0.718978062994
-5.56648732163 -1.45387944062 -5.09172439613 -5.46932216518 -0.360607118079 -0.772554827422 -0.522610318514 1.647 0.05 0.722522605592
-5.8851992482 -1.96462195572 -5.46932216518 -5.88221735723 -0.519071768912 -0.638097315413 -0.568679448179 1.597 0.05 0.726059634076
-6.3540734705 -2.27700190439 -5.88221735723 -6.31997726667 -0.768763717808 -0.221311067761 -0.600019797563 1.547 0.05 0.729575776037
-6.88395233439 -2.57647821981 -6.31997726667 -6.63156770426 -0.680555607143 -0.596801043381 -0.425055973026 1.497 0.05 0.733057426225
-7.25374008017 -3.05300002192 -6.63156770426 -7.09921556849 -0.326804410056 -0.700012342423 -0.634965824295 1.447 0.05 0.736492967546
