# segID nPts chi2avg chi2min chi2max
0 16 4.01001247117 0.0513175949055 17.809226577
1 1 -1.0 -1.0 -1.0
2 1 -1.0 -1.0 -1.0
3 1 -1.0 -1.0 -1.0
4 10 4.99336433518 0.037178133932 21.3941645618
5 19 9.25562915004 0.314406167154 34.0214220566
