# segID nPts chi2avg chi2min chi2max
0 7 12.3422145025 0.0553300875251 38.8527826901
1 1 -1.0 -1.0 -1.0
2 1 -1.0 -1.0 -1.0
3 1 -1.0 -1.0 -1.0
4 4 16.8898658581 7.91378926803 30.7726350356
5 1 -1.0 -1.0 -1.0
6 1 -1.0 -1.0 -1.0
7 12 8.42627499865 0.119499996494 27.749348723
8 1 -1.0 -1.0 -1.0
9 1 -1.0 -1.0 -1.0
10 18 5.09586082366 0.11648238345 36.2740422541
