# segID nPts chi2avg chi2min chi2max
0 27 5.75454066408 0.0119302248152 35.6766497041
1 2 21.383787992 21.383787992 21.383787992
2 8 16.6360020811 0.70374392667 35.0731320757
3 11 6.4391573704 0.207174107275 25.0286817926
