# segID nPts chi2avg chi2min chi2max
0 7 12.2912753941 0.537109368632 33.5564307804
1 1 -1.0 -1.0 -1.0
2 1 -1.0 -1.0 -1.0
3 5 22.8935589598 7.58940805917 39.2534883643
4 6 12.8455813793 1.23129494362 36.8707354172
5 1 -1.0 -1.0 -1.0
6 1 -1.0 -1.0 -1.0
7 1 -1.0 -1.0 -1.0
8 1 -1.0 -1.0 -1.0
9 1 -1.0 -1.0 -1.0
10 1 -1.0 -1.0 -1.0
11 22 6.15112920191 0.214072574559 19.7493809697
