# segID nPts chi2avg chi2min chi2max
0 16 3.29797938782 0.0475776377844 10.7023030757
1 1 -1.0 -1.0 -1.0
2 4 15.3002243648 6.80938951574 26.9982331564
3 1 -1.0 -1.0 -1.0
4 1 -1.0 -1.0 -1.0
5 1 -1.0 -1.0 -1.0
6 5 19.3849039392 5.99462212291 37.2454278531
7 19 7.88664547935 0.0692322391786 36.0383645036
