# segID nPts chi2avg chi2min chi2max
0 18 5.51233510285 0.0398505384246 32.5482341129
1 1 -1.0 -1.0 -1.0
2 1 -1.0 -1.0 -1.0
3 1 -1.0 -1.0 -1.0
4 1 -1.0 -1.0 -1.0
5 7 15.5166124421 2.25415093612 36.1743303034
6 1 -1.0 -1.0 -1.0
7 18 7.69567324973 0.0871434074569 29.1540677598
