# segID nPts chi2avg chi2min chi2max
0 27 7.40027690596 0.057751115899 34.7309522295
1 1 -1.0 -1.0 -1.0
2 1 -1.0 -1.0 -1.0
3 19 4.2511704409 0.115932020829 20.2286698938
